round_epochs,loss,accuracy,val_loss,val_accuracy,units1,units2,units3,dropout,lr,batch_size,epochs
50,0.770001232624054,0.4422658085823059,0.7592445611953735,0.39593908190727234,64,32,16,0.2,0.001,16,50
100,0.6965688467025757,0.48583877086639404,0.7002124786376953,0.3604061007499695,64,32,16,0.2,0.001,16,100
50,0.6996726989746094,0.5577341914176941,0.6788691878318787,0.5228426456451416,64,32,16,0.2,0.001,32,50
100,0.6609374284744263,0.6187363862991333,0.6486331224441528,0.6954314708709717,64,32,16,0.2,0.001,32,100
50,0.6799008846282959,0.586056649684906,0.6784471869468689,0.5482233762741089,64,32,16,0.2,0.0005,16,50
100,0.661963701248169,0.6318082809448242,0.6575272679328918,0.6700507402420044,64,32,16,0.2,0.0005,16,100
50,0.7222530841827393,0.4771241843700409,0.7059722542762756,0.46192893385887146,64,32,16,0.2,0.0005,32,50
100,0.7589037418365479,0.4270152449607849,0.7453755736351013,0.4010152220726013,64,32,16,0.2,0.0005,32,100
50,0.7001175880432129,0.48583877086639404,0.6800326704978943,0.5228426456451416,64,32,16,0.3,0.001,16,50
100,0.705132246017456,0.529411792755127,0.7116249799728394,0.4822334945201874,64,32,16,0.3,0.001,16,100
50,0.6969431638717651,0.5119825601577759,0.6992267966270447,0.49238577485084534,64,32,16,0.3,0.001,32,50
100,0.6886946558952332,0.5076252818107605,0.6767574548721313,0.48730963468551636,64,32,16,0.3,0.001,32,100
50,0.6984233856201172,0.501089334487915,0.6676172614097595,0.6345177888870239,64,32,16,0.3,0.0005,16,50
100,0.7207456231117249,0.5076252818107605,0.6941784024238586,0.48730963468551636,64,32,16,0.3,0.0005,16,100
50,0.7808293104171753,0.40305009484291077,0.7791629433631897,0.4010152220726013,64,32,16,0.3,0.0005,32,50
100,0.7177906036376953,0.46840959787368774,0.7160478234291077,0.4720812141895294,64,32,16,0.3,0.0005,32,100
50,0.6883051991462708,0.5315904021263123,0.6844967007637024,0.5939086079597473,64,32,32,0.2,0.001,16,50
100,0.6968351602554321,0.5511982440948486,0.690960705280304,0.4771573543548584,64,32,32,0.2,0.001,16,100
50,0.7085382342338562,0.5315904021263123,0.7111669778823853,0.4974619150161743,64,32,32,0.2,0.001,32,50
100,0.6822406649589539,0.586056649684906,0.6579845547676086,0.6294416189193726,64,32,32,0.2,0.001,32,100
50,0.6787563562393188,0.5686274766921997,0.6874540448188782,0.6345177888870239,64,32,32,0.2,0.0005,16,50
100,0.7115035653114319,0.5098039507865906,0.7118246555328369,0.49238577485084534,64,32,32,0.2,0.0005,16,100
50,0.6929172873497009,0.5904139280319214,0.6888567805290222,0.5837563276290894,64,32,32,0.2,0.0005,32,50
100,0.6902287602424622,0.5119825601577759,0.6848908066749573,0.5228426456451416,64,32,32,0.2,0.0005,32,100
